ptf,PTFS,PTFG,PTFH1,PTFH2,PTFH3,PTFH4,PTFH5,HVSC
149.99,130,150.99,149.99,139.96,149.99,149.99,145,6.5
129.99,149.99,138.99,138.01,130,130.93,146.79,145,6
117.14,129.99,129.94,129.74,110.01,129.92,145,143,6
101.72,117.14,128.99,117,35.04,110.06,139.93,135,7
53.99,101.72,116.99,104.81,20.17,99.98,130.01,129,6.5
53.99,53.99,116.99,104.54,45.48,100,130.93,135,6
55,53.99,119.93,100,110,99.97,129.56,110,6
35.05,55,115.68,58.91,53,52.99,124.95,105,6.5
54,35.05,139.99,124.99,115,110.01,139.95,143,6.67
100.06,54,166.06,149,134.21,127.75,146.79,143,6
105,100.06,169.99,150,140,141.01,149.99,143,6
130.01,105,169.99,150,147.99,149.99,150,150,6
130.51,130.01,169.99,150,140.71,148,149.99,149,6
130,130.51,169.99,150,142.01,149.97,149.99,150,6
127.76,130,169.99,149.99,139.99,149.99,149.99,148,6.33
131.33,127.76,169,149.99,140.01,149.99,148.41,149,7
148,131.33,169.99,150,149.97,150,150,165,7
155.24,148,169.99,169.99,149.99,155,169.99,180.7,7
155,155.24,169.99,168.08,149.99,155,169.99,175,6.5
149.99,155,168.99,154.99,149.95,150,166.88,175,7
149.32,149.99,154.67,150,148.46,150,150,160,6.33
147.41,149.32,140.04,150,145,149.99,150,150,5.5
149.95,147.41,145.63,150,145.59,149.99,149.99,150,4
140,149.95,130,149.99,139.36,140,146.79,143,5
115,140,149.99,135,129.99,138.99,135,150,6.5
88.3,115,129.99,129.75,123.85,129.99,130,145,4
35.05,88.3,117.14,111.13,120.01,102.19,110.01,145,3.33
19.99,35.05,101.72,100,104.99,52.99,94.8,130,3.5
10.01,19.99,53.99,99,35.04,49.99,94.8,129,2
35.05,10.01,53.99,104.69,114.93,53,97.8,140,1
110.01,35.05,55,125,130,120.01,128.99,145,2
129,110.01,35.05,138,133.78,139,135.01,150,1
159.84,129,54,150,150,154.99,150,185,2.67
169.99,159.84,100.06,169.99,160,169.99,169.99,187.03,6.5
169.99,169.99,105,169.99,169.99,170,170,191.9,8
170,169.99,130.01,169.99,169.99,170,170,195,8.5
169.99,170,130.51,155.99,150,169.99,168.91,187.05,9
169.99,169.99,130,169.99,150,169.99,163.06,187.06,8.5
169.99,169.99,127.76,169.99,150,170,169.99,187.05,8.33
169.99,169.99,131.33,169.99,150,170,169.99,187.05,8
169.99,169.99,148,169.99,169.99,173.09,170,191.91,7
170,169.99,155.24,170,169.99,179.99,180,207,6
169.99,170,155,169.99,169.99,170,175,195,5
159.99,169.99,149.99,169.99,150.01,169.99,170,187.04,4.5
149.92,159.99,149.32,154.99,150,163.62,169.99,187.01,4
145,149.92,147.41,150,149.99,157.99,169.99,187,3.5
169.99,145,149.95,150,149.99,155.71,153.67,185,4
169.99,169.99,140,149.99,144.48,150,149.99,184.81,4.5
149.58,169.99,115,149.99,135.97,145,148.64,175,5.5
140,149.58,88.3,140,130,130,135,145,4
129.09,140,35.05,130,126.22,119.24,130,135,2.33
113.09,129.09,19.99,119.48,110.01,105.32,110.01,115,1
110,113.09,10.01,119.74,110,110.01,110,110,5
118,110,35.05,129.99,114.95,119.94,120.01,130,5.5
137.68,118,110.01,139,120.39,135,129,145,5
140.01,137.68,129,145.1,130,138.99,135.01,150,6
164,140.01,159.84,169.99,149.96,153.99,150,187,6.33
169.99,164,169.99,169.99,150,169.99,170,187.06,7.5
169.99,169.99,169.99,169.99,150,170,170,195.04,8
169.99,169.99,170,170,153.76,170,170,195.04,8.5
165.55,169.99,169.99,169.99,149.99,169.99,169.99,187.04,9
169.99,165.55,169.99,169.99,149.99,169.99,169.99,187.05,9
169.99,169.99,169.99,169.99,149.99,170,169.99,195,9
169.99,169.99,169.99,169.99,150,170,169.99,191.75,8.5
169.99,169.99,169.99,170,169.99,170,170,195,7.5
170,169.99,170,170,169.99,179.99,180,211,7
169.99,170,169.99,169.99,150,170,170,215,7
160,169.99,159.99,169.99,150,169.99,170,195,7.5
155.85,160,149.92,169.99,149.99,162.17,169.99,187.05,7
149.91,155.85,145,154.58,149.93,153.99,169.99,187.03,6
169.99,149.91,169.99,169.99,149.96,155,169.99,187.03,6.5
169.99,169.99,169.99,150,142.58,149.99,150,187,5.5
144.99,169.99,149.58,148.56,130.01,144.92,145,175.93,7
131.03,144.99,140,135.01,127.99,134.99,130,150,3.5
117.31,131.03,129.09,130,115,119.76,125,145,4.33
104.99,117.31,113.09,120.01,99.01,110.01,99.01,130,5
100.03,104.99,110,117.12,100,110.01,99.01,82,6.5
107.01,100.03,118,129,115,116.99,110,130,6
130.69,107.01,137.68,135,130.01,127.9,124.99,148,7
140,130.69,140.01,139.99,140,140.01,129,170.04,6
159.38,140,164,154.91,149.99,154,150,187.03,7
169.99,159.38,169.99,169.99,150,169.99,169.99,195.01,8
169.99,169.99,169.99,169.99,151.98,170,169.99,195.07,9
169.99,169.99,169.99,170,169.99,170,170,250,9
169.99,169.99,165.55,169.99,149.99,169.99,169.99,191.75,9
169.99,169.99,169.99,169.99,150,170,169.99,191.9,9
169.99,169.99,169.99,169.99,150,170,169.99,195,8
169.99,169.99,169.99,169.99,150,169.99,169.99,195,8
169.99,169.99,169.99,170,169.99,170,170,220,6.5
169.99,169.99,170,170,169.99,170,170,550,6.5
163.99,169.99,169.99,170,169.99,170,170,195.07,7
154.99,163.99,160,169.99,150,169.99,170,195,6.5
149.23,154.99,155.85,169.99,150,159.94,169.99,191.7,7
140,149.23,149.91,154.49,149.99,154,169.99,187.07,6
169.99,140,169.99,169.99,150,157.01,169.92,191.7,5.5
159.99,169.99,169.99,150,149.99,149.99,150,187.05,5
140.01,159.99,144.99,149.99,140,140.01,149.99,169.99,6
127.99,140.01,131.03,133,135,133,139,150.01,4.5
115.67,127.99,117.31,129.99,125.32,128.99,128,150,4.67
100.04,115.67,104.99,120,118.12,116.99,104.01,149.99,7
100.04,100.04,100.03,117,116.59,115,104.01,149.99,7
107.14,100.04,107.01,129.99,118.49,119.93,110.01,149.99,7
128.76,107.14,130.69,140,125,126.63,129.22,150,7
135.01,128.76,140,149.99,140,140.01,138.99,160.55,7
158.74,135.01,159.38,169.99,150,159.43,165,179.99,7.67
169.99,158.74,169.99,170,169.99,170,169.99,190,9
169.99,169.99,169.99,170,164.99,170,169.99,210.04,9
169.99,169.99,169.99,179.99,169.99,170,169.99,210.09,9
164,169.99,169.99,170,150,169.99,169.99,179.99,9
169.99,164,169.99,170,150,169.99,169.99,180,10
169.99,169.99,169.99,170,150,170,169.99,180,9.67
169.99,169.99,169.99,170,150,169.99,169.99,180,10
169.99,169.99,169.99,175,169.99,170,169.99,202.23,9
169.99,169.99,169.99,180,169.99,170,170,300,9
150,169.99,163.99,170,164.49,170,170,190,9
149.95,150,154.99,170,150,169.99,169.99,180,9
143,149.95,149.23,169.99,150,169.99,169.99,180,9
135,143,140,169.99,149.99,163.35,163.75,170,9
160,135,169.99,169.99,150,164.99,166,179.99,9
149.96,160,159.99,169.99,149.99,150,150,170,9
139.98,149.96,140.01,154.95,144.99,140.01,130.01,169.99,9
126.01,139.98,127.99,135.57,139.9,130,129,150,9
109.99,126.01,115.67,129.99,129.99,120.01,111.38,145,9.67
78.5,109.99,100.04,118.01,116.99,110,109,140.01,10
75,78.5,100.04,117,114.91,110,109,140.01,10
100,75,107.14,125.24,117,114.94,109.01,141.25,10
119.28,100,128.76,135.01,135,129.99,128.01,145,10
134,119.28,135.01,139.99,144.99,130,129.99,149.99,10.5
143.33,134,158.74,169.99,150,153.99,150,170,11.33
158.75,143.33,169.99,170,169.99,163.75,169.99,189.99,11.5
150,158.75,169.99,170,169.99,169.99,169.99,190,13
154.99,150,169.99,170,169.99,169.99,169.99,199.99,13
139.66,154.99,164,169.99,149.99,150,149.99,175.01,13
159.99,139.66,169.99,170,154,160,150,180,13
155,159.99,169.99,170,169.99,169.99,155,187.68,13
149.01,155,169.99,170,164.99,169.99,154.46,188.47,12.5
165,149.01,169.99,170,169.99,170,169.99,190,13
169.99,165,169.99,170,169.99,170,169.99,211.64,13.5
159.99,169.99,150,170,169.99,169.99,157.99,190,14.5
149,159.99,149.95,169.99,154.84,169.99,150,189.99,14.5
137.99,149,143,169.99,150,160.04,149.99,180,13.67
129.97,137.99,135,169.99,149.99,150,149.99,170,14.5
160,129.97,160,169.99,150,151.48,149.99,170,14
154.36,160,149.96,164.99,149.99,149.99,149.93,169.99,14.5
140,154.36,139.98,150.99,133,140,149.99,164.99,12
126.85,140,126.01,138.99,127.99,130,140,150,11
109.99,126.85,109.99,129.94,120.34,122.01,130,145,11.33
100,109.99,78.5,128.99,114.9,110,125.01,139.96,12.5
100,100,75,116.99,112.29,85.21,119.97,135,12
100.08,100,100,116.99,114.93,79.5,125.01,135,12
118,100.08,119.28,119.93,116.36,119.15,125.01,135.37,11
119.09,118,134,115.68,110.01,116.99,129,144.99,12
130.94,119.09,143.33,139.99,139.94,149.99,150,169.99,12
149.99,130.94,158.75,166.06,150,150,164.88,170,11
150,149.99,150,169.99,154,150,169.99,170,10.5
154.99,150,154.99,169.99,165.79,153.01,170,179.99,10.5
150,154.99,139.66,169.99,150,150,169.99,170,10
150,150,159.99,169.99,150,150,169.99,170,11
150,150,155,169.99,150,149.99,169.99,170,11
150,150,149.01,169,150,149.99,169.99,170,11.5
150,150,165,169.99,154.82,150,169.99,170,10.5
154.99,150,169.99,169.99,169.99,153.99,170,179.99,10.5
150,154.99,159.99,169.99,154,150,169.99,170,10
149.99,150,149,168.99,150,150,169.99,170,10
135,149.99,137.99,154.67,150,149.99,158,170,9.33
130,135,129.97,140.04,149.99,149.95,150,169.99,8
150,130,160,145.63,150,149.97,153.19,169.99,7.5
149.86,150,154.36,130,149.49,144.99,149.99,169.99,7
145,149.86,140,149.99,149.99,139.96,149.99,149.99,7
130.01,145,126.85,129.99,138.01,130,130.93,146.79,6.5
116,130.01,109.99,117.14,129.74,110.01,129.92,145,6.33
100.05,116,100,101.72,117,35.04,110.06,139.93,6
100,100.05,100,53.99,104.81,20.17,99.98,130.01,6
100.02,100,100.08,53.99,104.54,45.48,100,130.93,6
100.06,100.02,118,55,100,110,99.97,129.56,5.5
90,100.06,119.09,35.05,58.91,53,52.99,124.95,5
115.99,90,130.94,54,124.99,115,110.01,139.95,5
117.99,115.99,149.99,100.06,149,134.21,127.75,146.79,5
130,117.99,150,105,150,140,141.01,149.99,5
142.22,130,154.99,130.01,150,147.99,149.99,150,5
144.99,142.22,150,130.51,150,140.71,148,149.99,5
149,144.99,150,130,150,142.01,149.97,149.99,5
148,149,150,127.76,149.99,139.99,149.99,149.99,5
149.99,148,150,131.33,149.99,140.01,149.99,148.41,5
150.94,149.99,150,148,150,149.97,150,150,5
154.99,150.94,154.99,155.24,169.99,149.99,155,169.99,4.5
154.99,154.99,150,155,168.08,149.99,155,169.99,4
